symbol,timestamp,open,high,low,close,volume,trade_count,vwap
AAPL,2018-01-02 05:00:00+00:00,170.16,172.3,169.26,172.26,27641744.0,177088.0,171.378702
AAPL,2018-01-03 05:00:00+00:00,172.53,174.55,171.96,172.23,31760108.0,188340.0,173.068527
AAPL,2018-01-04 05:00:00+00:00,172.54,173.47,172.08,173.03,24390260.0,153154.0,172.987175
AAPL,2018-01-05 05:00:00+00:00,173.44,175.37,173.05,175.0,26239861.0,152077.0,174.686561
AAPL,2018-01-08 05:00:00+00:00,174.35,175.61,173.93,174.35,22729369.0,138848.0,174.610658
AAPL,2018-01-09 05:00:00+00:00,174.55,175.06,173.41,174.33,23019760.0,154009.0,174.32457
AAPL,2018-01-10 05:00:00+00:00,173.16,174.3,173.0,174.29,25605512.0,151203.0,173.672791
AAPL,2018-01-11 05:00:00+00:00,174.59,175.4886,174.49,175.28,19988261.0,117867.0,175.148139
AAPL,2018-01-12 05:00:00+00:00,176.18,177.36,175.65,177.09,27425956.0,151838.0,176.728687
AAPL,2018-01-16 05:00:00+00:00,177.9,179.39,176.14,176.19,31889897.0,195540.0,177.452258
AAPL,2018-01-17 05:00:00+00:00,176.15,179.25,175.07,179.1,37117822.0,218166.0,177.386322
AAPL,2018-01-18 05:00:00+00:00,179.37,180.1,178.25,179.26,34336684.0,185123.0,179.381337
AAPL,2018-01-19 05:00:00+00:00,178.61,179.58,177.41,178.46,37426475.0,160471.0,178.457157
AAPL,2018-01-22 05:00:00+00:00,177.3,177.78,176.6016,177.0,30098062.0,163852.0,177.11845
AAPL,2018-01-23 05:00:00+00:00,177.3,179.44,176.82,177.04,34800309.0,211200.0,177.933008
AAPL,2018-01-24 05:00:00+00:00,177.25,177.3,173.2,174.22,54152804.0,326256.0,174.811967
AAPL,2018-01-25 05:00:00+00:00,174.505,174.95,170.53,171.11,43538760.0,293744.0,172.257632
AAPL,2018-01-26 05:00:00+00:00,172.0,172.0,170.06,171.51,42380359.0,243328.0,171.10364
AAPL,2018-01-29 05:00:00+00:00,170.16,170.16,167.07,167.96,53291740.0,336857.0,168.347868
AAPL,2018-01-30 05:00:00+00:00,165.525,167.37,164.7,166.97,48396382.0,336720.0,166.291008
AAPL,2018-01-31 05:00:00+00:00,166.87,168.4417,166.5,167.43,35610153.0,225340.0,167.361564
AAPL,2018-02-01 05:00:00+00:00,167.19,168.62,166.76,167.78,49981968.0,309297.0,167.625648
AAPL,2018-02-02 05:00:00+00:00,166.0,166.8,160.1,160.37,90814330.0,602845.0,162.698249
AAPL,2018-02-05 05:00:00+00:00,159.1,163.88,156.0,156.49,76610861.0,528528.0,160.369029
AAPL,2018-02-06 05:00:00+00:00,154.83,163.72,154.0,163.03,72702350.0,507004.0,159.678769
AAPL,2018-02-07 05:00:00+00:00,163.085,163.4,159.0685,159.54,54826562.0,341996.0,161.067213
AAPL,2018-02-08 05:00:00+00:00,160.29,161.0,155.03,155.15,58490744.0,366255.0,158.830791
AAPL,2018-02-09 05:00:00+00:00,157.07,157.89,150.24,156.41,74932189.0,441813.0,154.971657
AAPL,2018-02-12 05:00:00+00:00,158.5,163.89,157.51,162.71,65972969.0,362867.0,161.553187
AAPL,2018-02-13 05:00:00+00:00,161.95,164.75,161.65,164.34,33807277.0,219162.0,163.379571
AAPL,2018-02-14 05:00:00+00:00,163.045,167.54,162.88,167.37,42667042.0,270800.0,165.668857
AAPL,2018-02-15 05:00:00+00:00,169.79,173.09,169.0,172.99,53571658.0,332583.0,171.533771
AAPL,2018-02-16 05:00:00+00:00,172.36,174.82,171.77,172.43,43397936.0,255557.0,173.377692
AAPL,2018-02-20 05:00:00+00:00,172.05,174.26,171.42,171.85,35970064.0,232824.0,172.895496
AAPL,2018-02-21 05:00:00+00:00,172.83,174.12,171.01,171.07,39711991.0,246561.0,172.879507
AAPL,2018-02-22 05:00:00+00:00,171.8,173.95,171.71,172.6,32422893.0,213690.0,172.92887
AAPL,2018-02-23 05:00:00+00:00,173.78,175.65,173.54,175.555,35933984.0,215081.0,174.716142
AAPL,2018-02-26 05:00:00+00:00,176.35,179.39,176.21,178.97,40421646.0,248927.0,178.385636
AAPL,2018-02-27 05:00:00+00:00,179.1,180.48,178.16,178.39,40894173.0,259222.0,179.268869
AAPL,2018-02-28 05:00:00+00:00,179.26,180.615,178.05,178.12,41392251.0,195754.0,179.247248
AAPL,2018-03-01 05:00:00+00:00,178.54,179.775,172.66,175.0,50891879.0,345195.0,176.081558
AAPL,2018-03-02 05:00:00+00:00,172.8,176.3,172.45,176.21,40994637.0,249018.0,174.844074
AAPL,2018-03-05 05:00:00+00:00,175.21,177.74,174.52,176.82,30483938.0,183247.0,176.539874
AAPL,2018-03-06 05:00:00+00:00,177.91,178.25,176.13,176.67,25315607.0,167012.0,177.057213
AAPL,2018-03-07 05:00:00+00:00,174.94,175.85,174.27,175.03,33825266.0,206269.0,175.083163
AAPL,2018-03-08 05:00:00+00:00,175.48,177.12,175.07,176.94,25139322.0,156527.0,176.235092
AAPL,2018-03-09 05:00:00+00:00,177.96,180.0,177.39,179.98,34673728.0,204026.0,179.206123
AAPL,2018-03-12 04:00:00+00:00,180.29,182.39,180.21,181.72,33875300.0,195344.0,181.649357
AAPL,2018-03-13 04:00:00+00:00,182.59,183.5,179.24,179.97,33368128.0,216672.0,181.535145
AAPL,2018-03-14 04:00:00+00:00,180.32,180.52,177.81,178.44,30896005.0,211950.0,178.778219
AAPL,2018-03-15 04:00:00+00:00,178.5,180.24,178.0701,178.65,24314975.0,151403.0,179.045883
AAPL,2018-03-16 04:00:00+00:00,178.65,179.12,177.62,178.02,52921622.0,142641.0,178.32158
AAPL,2018-03-19 04:00:00+00:00,177.32,177.47,173.66,175.3,35980522.0,245571.0,175.274912
AAPL,2018-03-20 04:00:00+00:00,175.24,176.8,174.94,175.24,21409960.0,135306.0,175.700251
AAPL,2018-03-21 04:00:00+00:00,175.04,175.09,171.26,171.27,39225562.0,238352.0,173.063867
AAPL,2018-03-22 04:00:00+00:00,170.0,172.68,168.6,168.845,44033672.0,289765.0,170.11415
AAPL,2018-03-23 04:00:00+00:00,168.39,169.92,164.94,164.94,44370327.0,284009.0,167.423066
AAPL,2018-03-26 04:00:00+00:00,168.06,173.1,166.44,172.77,41747175.0,232077.0,170.311441
AAPL,2018-03-27 04:00:00+00:00,173.68,175.15,166.92,168.34,43609999.0,276950.0,171.378489
AAPL,2018-03-28 04:00:00+00:00,167.25,170.02,165.19,166.48,45657820.0,305622.0,167.178791
AAPL,2018-03-29 04:00:00+00:00,167.805,171.75,166.9,167.78,44621986.0,219099.0,168.989725
AAPL,2018-04-02 04:00:00+00:00,167.88,168.94,164.47,166.68,40765394.0,291908.0,166.395354
AAPL,2018-04-03 04:00:00+00:00,167.64,168.7455,164.88,168.39,32559632.0,208591.0,167.028519
AAPL,2018-04-04 04:00:00+00:00,164.88,172.01,164.77,171.61,36912671.0,240831.0,169.278477
AAPL,2018-04-05 04:00:00+00:00,172.58,174.2304,172.08,172.8,28857387.0,189687.0,173.216614
AAPL,2018-04-06 04:00:00+00:00,170.97,172.48,168.2,168.38,38079730.0,251678.0,169.753139
AAPL,2018-04-09 04:00:00+00:00,169.88,173.09,169.845,170.05,31118994.0,199536.0,171.45174
AAPL,2018-04-10 04:00:00+00:00,173.0,174.0,171.53,173.25,30688964.0,202125.0,173.043823
AAPL,2018-04-11 04:00:00+00:00,172.23,173.9232,171.7,172.44,23837218.0,157148.0,172.730436
AAPL,2018-04-12 04:00:00+00:00,173.41,175.0,173.04,174.14,24232724.0,151619.0,174.351233
AAPL,2018-04-13 04:00:00+00:00,174.78,175.84,173.85,174.64,26537513.0,156621.0,174.882512
AAPL,2018-04-16 04:00:00+00:00,175.0301,176.19,174.8301,175.82,22948616.0,155498.0,175.640383
AAPL,2018-04-17 04:00:00+00:00,176.49,178.9365,176.41,178.24,28557263.0,168079.0,177.976693
AAPL,2018-04-18 04:00:00+00:00,177.81,178.82,176.88,177.84,22309802.0,136339.0,177.941603
AAPL,2018-04-19 04:00:00+00:00,174.96,175.39,172.66,172.8,36942556.0,230449.0,173.608454
AAPL,2018-04-20 04:00:00+00:00,170.595,171.2184,165.43,165.72,71425054.0,401873.0,167.115448
AAPL,2018-04-23 04:00:00+00:00,166.8348,166.92,164.09,165.24,39036223.0,238211.0,165.592815
AAPL,2018-04-24 04:00:00+00:00,165.67,166.33,161.2201,162.94,35637239.0,258899.0,163.605974
AAPL,2018-04-25 04:00:00+00:00,162.62,165.42,162.41,163.65,30197545.0,204093.0,164.186715
AAPL,2018-04-26 04:00:00+00:00,164.12,165.73,163.37,164.22,30274328.0,195097.0,164.410352
AAPL,2018-04-27 04:00:00+00:00,164.0,164.33,160.63,162.32,37350941.0,252967.0,162.309481
AAPL,2018-04-30 04:00:00+00:00,162.1302,167.26,161.84,165.26,46018020.0,264807.0,165.50952
AAPL,2018-05-01 04:00:00+00:00,166.4102,169.2,165.27,169.1,54143290.0,350391.0,167.686882
AAPL,2018-05-02 04:00:00+00:00,175.25,176.64,175.25,176.57,3169885.0,3.0,176.191151
AAPL,2018-05-03 04:00:00+00:00,175.68,176.89,175.68,176.89,2080515.0,167.0,176.536755
AAPL,2018-05-04 04:00:00+00:00,178.25,184.25,178.17,183.83,58247636.0,370460.0,182.577324
AAPL,2018-05-07 04:00:00+00:00,185.18,187.67,184.75,185.16,44565834.0,267443.0,186.196179
AAPL,2018-05-08 04:00:00+00:00,184.99,186.22,183.665,186.05,30612980.0,180010.0,185.296393
AAPL,2018-05-09 04:00:00+00:00,186.55,187.4,185.22,187.36,24759757.0,161099.0,186.488981
AAPL,2018-05-10 04:00:00+00:00,187.74,190.37,187.65,190.04,29272943.0,185515.0,189.359786
AAPL,2018-05-11 04:00:00+00:00,189.49,190.06,187.45,188.59,28914455.0,157548.0,188.756205
AAPL,2018-05-14 04:00:00+00:00,189.01,189.53,187.86,188.15,22897832.0,127760.0,188.628345
AAPL,2018-05-15 04:00:00+00:00,186.78,187.07,185.1,186.44,25754268.0,171234.0,186.156971
AAPL,2018-05-16 04:00:00+00:00,186.07,188.46,186.0,188.18,20627960.0,126073.0,187.682043
AAPL,2018-05-17 04:00:00+00:00,188.0,188.91,186.36,186.99,18614121.0,116032.0,187.582046
AAPL,2018-05-18 04:00:00+00:00,187.19,187.8102,186.13,186.31,20490954.0,116513.0,186.916868
AAPL,2018-05-21 04:00:00+00:00,188.0,189.27,186.9106,187.63,19825231.0,129164.0,188.057774
AAPL,2018-05-22 04:00:00+00:00,188.375,188.88,186.78,187.28,16728138.0,104403.0,187.565753
AAPL,2018-05-23 04:00:00+00:00,186.35,188.5,185.76,188.36,22391972.0,137625.0,187.229574
AAPL,2018-05-24 04:00:00+00:00,188.77,188.84,186.21,188.15,24824683.0,132056.0,187.831263
AAPL,2018-05-25 04:00:00+00:00,188.23,189.65,187.65,188.58,18996469.0,122814.0,188.854169
AAPL,2018-05-29 04:00:00+00:00,187.6,188.75,186.87,187.9,24921786.0,161045.0,187.708946
AAPL,2018-05-30 04:00:00+00:00,187.72,188.0,186.78,187.5,19891104.0,132236.0,187.312297
AAPL,2018-05-31 04:00:00+00:00,187.22,188.23,186.14,186.87,33029623.0,151560.0,187.085654
AAPL,2018-06-01 04:00:00+00:00,187.9912,190.26,187.75,190.24,25108947.0,160656.0,189.547661
AAPL,2018-06-04 04:00:00+00:00,191.635,193.42,191.35,191.83,27751824.0,181279.0,192.230512
AAPL,2018-06-05 04:00:00+00:00,193.065,193.94,192.36,193.31,23206320.0,149332.0,193.218207
AAPL,2018-06-06 04:00:00+00:00,193.63,194.08,191.92,193.98,23650086.0,132991.0,193.355993
AAPL,2018-06-07 04:00:00+00:00,194.14,194.2,192.335,193.46,23361708.0,142646.0,193.330983
